moduleTitle;packLabel;sourceDocument;name;type;cost;quantity;reference;state;img;uuid;path;occurrences;modules
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Animal Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.WWF1lhS1dDBOl1Co;actors.37.items.2;2;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Animal Skin;armor;;;;other;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.SkTaM8kLS0seDaVH;actors.66.items.6;2;Symbaroum Core Rulebook
Symbaroum Adventure Collection;Symbaroum Adventure Collection;Symbaroum Adventure Collection;Armor;armor;;;;active;systems/symbaroum/asset/image/armor.png;Compendium.symbaroum-adventure-collection.symbaroum-adventure-collection.lyELrONdNdn4bCZM;actors.41.items.19;1;Symbaroum Adventure Collection
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Armor-like Skin;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.UJlk2LXpoYy7eiAZ;actors.90.items.10;1;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Armored*;armor;;;;other;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.QNauIwdtAcuVk95V;items.552;1;Symbaroum Core Rulebook
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Aura;armor;;;;active;icons/magic/control/silhouette-hold-change-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.sKc6NTM6m5hO6uhe;actors.14.items.6;1;Symbaroum - Thistle Hold - Wrath of the Warden
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Bark;armor;;;;active;icons/commodities/wood/bark-beige.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.W0fu4XdqWDODZLFH;actors.109.items.4;1;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Bark;armor;;;;active;icons/commodities/leather/scales-blue.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.yZvLJbNHH3Som9CG;actors.111.items.5;1;Symbaroum Monster Codex
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Bark-like hide;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.NUNE48RVXiTOSNH3;actors.52.items.7;1;Symbaroum Monster Codex
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bear Fur;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.ASIjil2rKaUsGq9O;actors.26.items.4;1;Symbaroum Core Rulebook
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bear Pelt;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.1utQchBIRIEtiFhC;actors.16.items.5;2;"Symbaroum Core Rulebook, Symbaroum Monster Codex"
Symbaroum Core Rulebook;Symbaroum RPG Core Rules;Symbaroum Core Rules;Bear Skin;armor;;;;active;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-corerules.symbaroum-core-rules.uVYofrJonQGISueM;actors.59.items.5;1;Symbaroum Core Rulebook
Symbaroum Monster Codex;Symbaroum Monster Codex;Symbaroum Monster Codex;Bear Skin (in beast form);armor;;;;equipped;icons/commodities/leather/fur-brown.webp;Compendium.symbaroum-monstercodex.symbaroum-monster-codex.TZS5InrdBWUw5074;actors.43.items.18;1;Symbaroum Monster Codex
