moduleTitle;packLabel;sourceDocument;name;type;cost;quantity;reference;state;img;uuid;path
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Aura;armor;;;;active;icons/magic/control/silhouette-hold-change-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.sKc6NTM6m5hO6uhe;actors.14.items.6
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Black Gown;armor;;;;active;icons/equipment/chest/robe-layered-blue.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.LKgpRBMF7VyPY8kN;actors.7.items.5
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Blessed Robe;armor;;;;active;icons/equipment/back/mantle-collared-white.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.m4CZj6tDkee07103;actors.13.items.19
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Blessed Robe;armor;;;;active;icons/equipment/back/mantle-collared-white.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.jsQHvDoZnv9wXCyg;actors.19.items.12
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Chain Mail;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.8FqQRFqBJewF2sxp;actors.10.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Chain Mail;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-gold.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Q8XBMpPcIcZuIZqo;actors.22.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Chainmail;armor;;;;active;icons/equipment/chest/breastplate-scale-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.UYuAXpR6HRx2XSCZ;actors.3.items.4
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Clothes;armor;;;;active;icons/equipment/chest/shirt-simple-tattered-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.zXLPfFqroNarNseM;actors.43.items.14
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Full Plate;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.KuOzGcD6wl8Nmy6A;actors.4.items.7
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Full Plate;armor;;;;other;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.jMcFpMdDlIwHfE94;actors.22.items.7
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Full Plate;armor;;;;active;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.af7nRiTYrBIzozIJ;actors.24.items.7
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Full Plate;armor;;;;other;icons/equipment/chest/breastplate-banded-steel-grey.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.PqeWxb3WNTYg8HQU;actors.37.items.7
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Lacquered Silk Cuirass;armor;;;;active;icons/equipment/chest/coat-collared-studded-red.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.6PoackXnmv5QAIwR;actors.28.items.8
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.WwK32drBibi7siCF;actors.8.items.4
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.jVAsWLAc7kEZA5ew;actors.15.items.6
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.qdA8CXker56RZlYx;actors.17.items.1
Symbaroum - Thistle Hold - Wrath of the Warden;Symbaroum Wrath of the Warden;Symbaroum Wrath of the Warden;Leather Armor;armor;;;;active;icons/equipment/chest/breastplate-banded-leather-brown.webp;Compendium.symbaroum-tot-wotw.symbaroum-wrath-of-the-warden.Vr1d4x5CvJT6Huci;actors.29.items.7
